clinic_name,doctor_name,phone_number,line_type,address,website,confidence_score,decision
Maadi Dental Center Prof.Dr. Amr A Azim,Prof.Dr. Amr A Azim,+201228888950,Mobile,"4 Road 209, Maadi as Sarayat Al Gharbeyah, Maadi, Cairo Governorate 11534",http://www.maadidental.com/,Medium,KEEP
Smart Dental Center Maadi - سمارت دنتال المعادي,,+201285659494,Mobile,"Rd 9, Maadi, Cairo Governorate 4212002",https://smartdentalcenters.com/,Low,KEEP
Art Dentistry Maadi | Dr Islam Shalash Clinic,Dr Islam Shalash,+201121111803,Mobile,"28 Road 233, El Shorta Buildings, Degla, Maadi, Cairo Governorate 11742",https://www.artdentistry.net/,High,KEEP
First Dental Center - FDC,,+201068807645,Mobile,"4 Road 21, Maadi, محافظة القاهرة‬, Maadi, Cairo Governorate",http://www.firstdentalcenters.com/,Low,KEEP
ToothMate Dental Clinic,,+201003294050,Mobile,"61 Street 263, New، Maadi, Cairo Governorate 4234033",http://toothmatedental.com/,High,KEEP
180 Dental,,+201013221170,Mobile,"Street 213, Maadi as Sarayat Al Gharbeyah, Maadi, Cairo Governorate 4213040",http://180dentalcenter.com/,Low,DISCARD
Dr. Mina M. Haroun Degla Dental Clinic (D.D.C.),Dr. Mina M. Haroun,+201115496333,Mobile,"8 Street 208, maadi as sarayat, Maadi, Cairo Governorate 11431",http://www.degladentalclinic.com/,High,KEEP
YOU Maadi dental Clinic,,+201019115799,Mobile,"Maadi Cairo 5/6 C Laselky Street X7FJ+787 El Basatin, Before Total Gas Station , Above ADCB Bank, Maadi, Cairo Governorate 11728",https://youclinic.online/,High,KEEP
Mira Dental Clinic,,+201111197399,Mobile,"Maadi as Sarayat Al Gharbeyah, Maadi, Cairo Governorate 4212102",https://www.yellowpages.com.eg/en/profile/Mira-Dental-Center/262089,High,KEEP
The Dental Group,,+201280021455,Mobile,"13 rd. 207 Degla , Maadi, Maadi, Cairo Governorate 11728",http://www.dentalgroup.com.eg/,Low,DISCARD
